source_id,source_type,category,priority,title,description,technical_details,component,is_duplicate,duplicate_of,quality_score,confidence
R001,app_review,Bug,Critical,App Crashes When Opening Settings Page on Pixel 7,"The app crashes every time the user attempts to open the settings page. This issue started occurring after the latest update (v3.2.1) and affects users on the Pixel 7 running Android 14. This critical bug prevents users from accessing their settings, significantly impacting user experience.","Device: Pixel 7, OS: Android 14, App Version: 3.2.1, Steps to Reproduce: N/A",Settings,True,E001,0.9,0.95
R003,app_review,Bug,Critical,Critical Login Issue After Update 3.2.1,"Users are unable to log in after the latest update (version 3.2.1). The error message 'Authentication Failed' appears even after multiple password reset attempts. This issue is critical as it prevents users from accessing their accounts, impacting user experience and retention.",N/A,Authentication,True,E002,0.8,0.95
R004,app_review,Feature Request,High,Feature Request: Dark Mode Option for TaskFlow Pro,"A user has requested the addition of a dark mode option for the TaskFlow Pro app. The user mentioned experiencing eye strain when using the app at night due to the bright interface. Implementing a dark mode would enhance usability for all users in low-light environments, making the app more comfortable to use during nighttime hours.",N/A,User Interface,True,E003,0.9,0.9
R005,app_review,Bug,Critical,Data Sync Issue: Mobile and Web Discrepancy,"User reports that data synchronization is completely broken, resulting in tasks on the mobile app not matching those on the web. This has led to a loss of 2 hours of work, severely impacting productivity. Device and OS details are needed for further investigation.",N/A,Sync,True,E004,0.7,0.95
R007,app_review,Feature Request,High,Add Google Calendar Integration for Event Syncing,"Users are requesting the integration of Google Calendar to allow for automatic syncing of events. This feature will eliminate the need for manual copying of events, saving time and reducing frustration for all users. The integration is already planned for version v3.4.0.",N/A,Calendar Integration,True,E005,0.9,0.95
R008,app_review,Bug,High,Dashboard Loading Extremely Slow on iPhone 14 Pro (iOS 17.3),"Users are experiencing significant delays when loading the dashboard after updating to version 3.2. The app takes over 10 seconds to load, severely impacting user experience and functionality. This issue has been reported by multiple users, indicating a widespread problem.","Device: iPhone 14 Pro, OS: iOS 17.3, App Version: 3.2.0, Steps to Reproduce: N/A",Dashboard,True,E006,0.9,0.95
R009,app_review,Feature Request,High,Implement Recurring Task Templates,"Users have requested the ability to create recurring task templates to automate the creation of repetitive tasks. This feature would significantly enhance productivity for power users who perform the same tasks weekly, such as creating tasks every Monday. Currently, users must manually create these tasks each week or duplicate existing ones, which is tedious and time-consuming.",N/A,Task Management,False,,0.9,0.95
R010,app_review,Bug,High,App Logs User Out and Loses Local Data,"A user reported that the app logged them out unexpectedly, resulting in the loss of all local data. This issue severely impacts user productivity and trust in the app's reliability. Immediate investigation is required to prevent data loss and ensure a stable user experience.",N/A,Authentication,True,E007,0.8,0.95
R012,app_review,Bug,High,Push Notifications Not Working on iOS 17.3+,"User reported that push notifications have stopped working completely, resulting in missed deadlines. This issue has a high impact on user experience and productivity.","Device: unknown, OS: iOS 17.3+, App Version: 3.2.0, Steps to reproduce: N/A",Notifications,True,E008,0.8,0.95
R013,app_review,Feature Request,High,Implement Offline Mode for TaskFlow Pro,Users have requested an offline mode for TaskFlow Pro to enable access and management of tasks without an internet connection. This feature is particularly important for frequent travelers who may not always have reliable internet access. Implementing this feature will enhance user experience and accessibility for all users.,N/A,App functionality,False,,0.9,0.9
R014,app_review,Complaint,Medium,User Feedback on Pricing Concerns,"A user has expressed dissatisfaction with the pricing of TaskFlow Pro, stating that the $9.99/month fee is too high compared to competitors who charge significantly less. This feedback indicates a potential risk of losing users to alternative apps due to pricing issues. The user is considering switching to a competitor, which highlights the need for a review of our pricing strategy.",N/A,Pricing,True,E009,0.8,0.95
R015,app_review,Bug,High,App Freezes When Attaching Files Larger Than 5MB on Samsung Galaxy S24,"Users are experiencing app freezes when attempting to attach files larger than 5MB, specifically with PDF and image files. This issue has been reported on a Samsung Galaxy S24 running Android 14, leading to a poor user experience and potential data loss. The app version is 3.2.1. This bug is critical as it affects users' ability to utilize the file attachment feature effectively.","{""device"": ""Samsung Galaxy S24"", ""os"": ""Android 14"", ""app_version"": ""3.2.1"", ""steps_to_reproduce"": ""1. Open the app. 2. Attempt to attach a file larger than 5MB. 3. Observe the app freezing.""}",Attachments,True,E010,0.9,0.95
R016,app_review,Feature Request,High,Add Slack Integration for Task Notifications,"Users have requested the addition of Slack integration for task notifications. This feature will allow users to receive task notifications directly in Slack, enhancing communication and task management for teams. The integration is already planned for version v3.4.0, and it is expected to significantly improve user experience.",N/A,Task Notifications,True,E011,0.9,0.9
R018,app_review,Bug,High,Search Function Returns Unrelated Results for 'budget',"Users are experiencing a critical issue with the search function in the app. When searching for the term 'budget', the results returned are unrelated, specifically tasks about 'meetings'. This bug severely impacts user experience and the functionality of the app, as users rely on accurate search results to manage their tasks effectively. Please provide details on the device and OS being used for further investigation.",N/A,Search,True,E012,0.7,0.95
R019,app_review,Feature Request,High,Add Support for Subtasks to Enhance Task Management,"Users have requested the ability to create subtasks within larger tasks. This functionality will allow users to break down complex tasks into smaller, manageable steps, improving their ability to organize and track progress. Implementing this feature will significantly enhance user experience and task management efficiency.",N/A,Task Management,True,E018,0.9,0.95
R020,app_review,Complaint,Medium,Customer Service Response Delay on Bug Report,"A user has reported a delay in response from customer service regarding a bug report submitted two weeks ago. The lack of communication has led to disappointment and frustration for the user, impacting their overall experience with the app.",N/A,Customer Service,True,E019,0.8,0.95
R024,app_review,Feature Request,High,Add PDF Export Feature for Task Reports,"Users are requesting the ability to export their tasks to PDF format. This feature is essential for generating weekly reports for management, making it easier for teams to present their progress and updates. The implementation of this feature will significantly enhance user experience and efficiency in reporting.",N/A,Task Management,True,E017,0.8,0.95
R025,app_review,Bug,Critical,App Crashes on Startup After Update to v3.2.1 on OnePlus 12,"The application crashes immediately upon startup after the user updated to version 3.2.1. This issue requires the user to reinstall the app every time to access it, significantly impacting usability. The user is on a OnePlus 12 device running Android 14.","Device: OnePlus 12, OS: Android 14, App Version: 3.2.1, Steps to Reproduce: N/A",Startup,True,E016,0.9,0.95
R027,app_review,Bug,Low,Incorrect Notification Badge Count Display,"Users are experiencing an issue where the notification badge on the app icon displays an incorrect count of unread notifications. For instance, it shows 5 unread notifications when there is only 1. This discrepancy is causing confusion and frustration among users, impacting their overall experience with the app.","Device: unknown, OS: Android, App Version: 3.2.1, Steps to reproduce: N/A",Notifications,True,E015,0.8,0.95
R028,app_review,Feature Request,High,Integrate Siri Shortcuts for Quick Task Creation,"Implement Siri shortcuts integration to allow users to create tasks quickly using voice commands. This feature will enhance productivity and convenience for all users, making it easier to manage tasks on the go.",N/A,Task Creation,False,,0.9,0.95
R029,app_review,Feature Request,High,Implement Advanced Sorting Options for Tasks,"Users have requested the ability to sort tasks not only by date but also by priority and project. This enhancement will allow users to organize their tasks more effectively, leading to improved productivity. The current limitation of sorting only by date is hindering user experience and task management efficiency.",N/A,Task Management,True,E020,0.9,0.95
R030,app_review,Bug,High,VoiceOver Accessibility Issues in TaskFlow Pro,"A user has reported poor accessibility support in the app, specifically mentioning that VoiceOver reads buttons incorrectly and that some elements are not labelled. This issue significantly impacts visually impaired users who rely on VoiceOver for navigation, making it difficult for them to use the app effectively. Additional details such as the device and OS version would help in diagnosing the issue.",N/A,Accessibility,True,E013,0.7,0.9
E001,support_email,Bug,Critical,App Crash on Settings > Account Page,"The app crashes every time a user attempts to access the Settings > Account page. This issue occurs consistently on a Google Pixel 7 running Android 14 with app version 3.2.1. The user has reported that they have cleared the cache and reinstalled the app, but the problem persists. This bug severely impacts user experience as it prevents access to account settings.","Device: Google Pixel 7, OS: Android 14, App Version: 3.2.1, Steps to reproduce: 1) Open app, 2) Tap Settings gear icon, 3) Tap Account, 4) App immediately crashes.",Settings,True,R001,0.9,0.95
E002,support_email,Bug,Critical,Login Failure After Update to Version 3.2.1,"User is unable to log into their account after updating to version 3.2.1, receiving an 'Authentication Failed' error despite using the correct password. The user has attempted a password reset, cleared app data, and reinstalled the app without success. This issue is critical as the user is locked out of months of project data and requires urgent assistance.",N/A,Authentication,True,R003,0.8,0.95
E003,support_email,Feature Request,Medium,Add Dark Mode Option to TaskFlow Pro,"User feedback indicates a strong desire for a dark mode feature in TaskFlow Pro. This feature would significantly reduce eye strain for users who work in low-light conditions, enhancing their overall experience with the app. Many productivity apps already offer this feature, and its addition would align TaskFlow Pro with user expectations and improve usability during nighttime use.",N/A,User Interface,True,R004,0.9,0.95
E004,support_email,Bug,Critical,Critical Bug: Data Sync Not Working Between Devices,"A user is experiencing a critical issue with data synchronization between their Samsung Galaxy S24 and the web version of TaskFlow Pro. Tasks created on one device do not appear on the other, severely impacting their workflow. The issue started approximately 3 days ago, and the user has confirmed they are logged into the same account on both devices. They are on an active Premium plan.","Device: Samsung Galaxy S24, OS: unknown, App Version: unknown, Steps to reproduce: N/A",Sync,True,R005,0.8,0.95
E005,support_email,Feature Request,High,Add Google Calendar and Outlook Calendar Integration,"User has requested the integration of Google Calendar and Outlook Calendar into TaskFlow Pro. Currently, users must manually check their calendars and create tasks, which is time-consuming. Integrating these calendars would allow users to view their calendar events alongside their tasks, significantly improving productivity and reducing manual entry. This feature is planned for version 3.4.0.",N/A,Task Management,True,R007,0.8,0.95
E006,support_email,Bug,High,Dashboard Loading Performance Issue in Version 3.2,"Users are experiencing significant delays in loading the dashboard after updating to version 3.2. One user reported a loading time of 10-15 seconds on an iPhone 14 Pro with iOS 17.3, despite having a stable internet connection. This issue affects user productivity and may lead to frustration, especially for those managing multiple tasks and projects.","Device: iPhone 14 Pro, OS: iOS 17.3, App Version: 3.2, Steps to reproduce: N/A",Dashboard,True,R008,0.8,0.95
E007,support_email,Bug,Critical,Critical Bug: Lost All Local Data After Logout on iPad Air,"A user reported that the app logged them out unexpectedly, resulting in the loss of all locally stored tasks, notes, and attachments. The user had over 50 tasks that were not synced to the cloud due to being in offline mode, representing weeks of planning work. Immediate recovery of this data is needed as it severely impacts user productivity.","Device: iPad Air 5th gen, OS: iPadOS 17.3, Steps to reproduce: not provided.",Sync,True,R010,0.9,0.95
E008,support_email,Bug,High,Push Notifications Not Working on iPhone 15,User reports that push notifications have completely stopped working on their iPhone 15 since about a week ago. All notification settings in the app and iOS Settings are enabled. The user missed several important task deadlines due to this issue. Immediate investigation is required to resolve the problem.,"Device: iPhone 15, OS: iOS 17.4, App Version: 3.2.0, Steps to reproduce: N/A",Notifications,True,R012,0.9,0.95
E009,support_email,Complaint,Medium,User Feedback on Pricing Concerns,"A user has expressed dissatisfaction with the current pricing of TaskFlow Pro at $9.99/month, stating it is significantly higher than competitors like Todoist and TickTick, which offer similar features at lower prices. The user appreciates the app's interface but is considering switching to a more affordable alternative due to cost concerns. This feedback highlights a potential barrier to user retention and suggests the need for a review of pricing tiers.",N/A,Pricing,True,R014,0.8,0.85
E010,support_email,Bug,High,File Attachment Crash on Large Files,"Users are experiencing crashes when attempting to attach files larger than 5MB in the app. This issue significantly impacts user experience, as it prevents the successful upload of larger files, which may be necessary for various tasks. The app freezes and eventually crashes, leading to potential data loss and frustration for users.","Device: Samsung Galaxy S24, OS: Android 14, App Version: 3.2.1. Steps to reproduce: 1) Open the app. 2) Navigate to the file attachment section. 3) Attempt to attach a file larger than 5MB.",Attachments,True,R015,0.9,0.95
E011,support_email,Feature Request,High,Feature Request: Slack Integration for Task Management,"User feedback indicates a strong need for a Slack integration that allows task notifications to be sent to Slack channels, enables task creation from Slack messages, and allows updates to task status directly from Slack. This feature would significantly enhance productivity for teams, particularly for the user's team of 15, by streamlining task management and improving collaboration.",N/A,Task Management,True,R016,0.9,0.95
E012,support_email,Bug,Critical,Search Function Returns Incorrect Results,"The search function in TaskFlow Pro is malfunctioning, returning irrelevant tasks when specific keywords are searched. For example, searching for 'budget' yields results related to 'meetings' and 'team lunch', while 'Q1 report' brings up outdated tasks from months ago. This issue severely hampers users' ability to locate specific tasks efficiently.","Device: iPhone 14, OS: iOS 17.3, App Version: 3.2.0, Steps to reproduce: N/A",Search,True,R018,0.9,0.95
E013,support_email,Complaint,Medium,Accessibility Issues with VoiceOver in TaskFlow Pro,"A visually impaired user has reported multiple accessibility issues when using TaskFlow Pro with VoiceOver. The issues include: 1) The 'Add Task' button is not labelled, causing VoiceOver to read it as 'button' only. 2) Priority dropdown selections are not announced by VoiceOver. 3) The task completion toggle lacks an accessible name. 4) Some screens do not have a proper heading structure. These issues significantly hinder the usability of the app for users relying on assistive technology.",N/A,Accessibility features,True,R030,0.9,0.95
E015,support_email,Bug,Low,Incorrect Notification Badge Count on App Icon,"The notification badge on the app icon displays an incorrect count of unread notifications. Users report seeing a count of 5 unread notifications, but upon opening the app, they find only 1 or none. This issue has persisted for approximately 2 weeks, leading to confusion among users regarding their actual notifications.","Device: Google Pixel 8, OS: Android 14, App Version: 3.2.1, Steps to reproduce: N/A",Notifications,True,R027,0.8,0.95
E016,support_email,Bug,Critical,App Crashes on Startup After Update to v3.2.1,"The application crashes immediately upon startup after the user updated to version 3.2.1. The user experiences a brief display of the splash screen before the app closes. They have attempted multiple reinstalls, cleared data, and restarted their device without success. This issue is critical as it prevents the user from accessing the app entirely.","Device: OnePlus 12, OS: Android 14, App Version: 3.2.1, Steps to reproduce: N/A",Startup,True,R025,0.9,0.95
E017,support_email,Feature Request,High,Request for PDF Export Feature for Task Lists and Project Summaries,"User requests the ability to export task lists and project summaries as PDF documents. This feature is essential for generating weekly progress reports required by management. Currently, the user manually copies information into Word, which is time-consuming. A built-in PDF export with options to include/exclude completed tasks, date ranges, and project filters would significantly reduce the time spent on report generation, saving at least 30 minutes every Friday.",N/A,Reporting,True,R024,0.9,0.95
E018,support_email,Feature Request,High,Add Subtask Support to TaskFlow Pro,"Users have requested the addition of subtask support within tasks to improve organization and task management. For instance, a task like 'Prepare presentation' could have subtasks such as 'Research topic', 'Create slides', and 'Practice delivery'. This feature would allow users to maintain a hierarchical relationship between tasks, enhancing clarity and efficiency. Currently, users are forced to create separate tasks for each subtask, which can lead to disorganization.",N/A,Task Management,True,R019,0.9,0.95
E019,support_email,Complaint,Medium,Customer Service Response Delay for Bug Report #4521,"User reported a bug related to data loss two weeks ago (ticket #4521) and has not received any acknowledgment or response from customer service. This lack of communication is causing frustration and dissatisfaction, leading the user to consider canceling their subscription. Immediate attention is required to address the user's concerns and improve customer service response times.",N/A,Customer Support,True,R020,0.8,0.95
E020,support_email,Feature Request,High,Enhance Sorting and Filtering Options for Tasks,"Users are requesting enhanced sorting and filtering options for tasks within TaskFlow Pro. Currently, the app only allows sorting by date, which limits organization capabilities. Users need the ability to sort by priority and project, filter by assignee and tag, and save custom filter views. Implementing these features will significantly improve task management for teams, allowing for better prioritization and assignment tracking.",N/A,Task Management,True,R029,0.9,0.95
